Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres)
9225,2017,2,12,0
9225,2017,2,13,0
9225,2017,2,14,0
9225,2017,2,15,0
9225,2017,2,16,0
9225,2017,2,17,0
9225,2017,2,18,0
9225,2017,2,19,0
9225,2017,2,20,0
9225,2017,2,21,2.4
9225,2017,2,22,0
9225,2017,2,23,0
9225,2017,2,24,0
9225,2017,2,25,0
9225,2017,2,26,0
9225,2017,2,27,0
9225,2017,2,28,0
9225,2017,3,1,0
9225,2017,3,2,2.4
9225,2017,3,3,0.2
9225,2017,3,4,0
9225,2017,3,5,0
9225,2017,3,6,0
9225,2017,3,7,0
9225,2017,3,8,0
9225,2017,3,9,0
9225,2017,3,10,0
9225,2017,3,11,0
9225,2017,3,12,0
9225,2017,3,13,8.4
9225,2017,3,14,2.4
9225,2017,3,15,1.6
9225,2017,3,16,0
9225,2017,3,17,0
9225,2017,3,18,1.2
9225,2017,3,19,0.4
9225,2017,3,20,0
9225,2017,3,21,0
9225,2017,3,22,3.8
9225,2017,3,23,0.8
9225,2017,3,24,0
9225,2017,3,25,0
9225,2017,3,26,2.2
9225,2017,3,27,0.2
9225,2017,3,28,0
9225,2017,3,29,0
9225,2017,3,30,0
9225,2017,3,31,0
9225,2017,4,1,0
9225,2017,4,2,0
9225,2017,4,3,0
9225,2017,4,4,0
9225,2017,4,5,0
9225,2017,4,6,0
9225,2017,4,7,0
9225,2017,4,8,0
9225,2017,4,9,0
9225,2017,4,10,0
9225,2017,4,11,0
9225,2017,4,12,0
9225,2017,4,13,0
9225,2017,4,14,0
9225,2017,4,15,0
9225,2017,4,16,0
9225,2017,4,17,0
9225,2017,4,18,0
9225,2017,4,19,0
9225,2017,4,20,0
9225,2017,4,21,0
9225,2017,4,22,0
9225,2017,4,23,0
9225,2017,4,24,0
9225,2017,4,25,0
9225,2017,4,26,0
9225,2017,4,27,0
9225,2017,4,28,0
9225,2017,4,29,0
9225,2017,4,30,0
9225,2017,5,1,0
9225,2017,5,2,0
9225,2017,5,3,0
9225,2017,5,4,0
9225,2017,5,5,7.8
9225,2017,5,6,0.2
9225,2017,5,7,0
9225,2017,5,8,0
9225,2017,5,9,2.2
9225,2017,5,10,0
9225,2017,5,11,0
9225,2017,5,12,0
9225,2017,5,13,0
9225,2017,5,14,0
9225,2017,5,15,3
9225,2017,5,16,7.6
9225,2017,5,17,0
9225,2017,5,18,0
9225,2017,5,19,1
9225,2017,5,20,8.2
9225,2017,5,21,17.2
9225,2017,5,22,16
9225,2017,5,23,5.2
9225,2017,5,24,1
9225,2017,5,25,0
9225,2017,5,26,1.4
9225,2017,5,27,0
9225,2017,5,28,0
9225,2017,5,29,0
9225,2017,5,30,0
9225,2017,5,31,0
9225,2017,6,1,0
9225,2017,6,2,0
9225,2017,6,3,0
9225,2017,6,4,0
9225,2017,6,5,0
9225,2017,6,6,0
9225,2017,6,7,0
9225,2017,6,8,0
9225,2017,6,9,0
9225,2017,6,10,0
9225,2017,6,11,0
9225,2017,6,12,0
9225,2017,6,13,0
9225,2017,6,14,26.2
9225,2017,6,15,0
9225,2017,6,16,0
9225,2017,6,17,0
9225,2017,6,18,0
9225,2017,6,19,0
9225,2017,6,20,0
9225,2017,6,21,0.2
9225,2017,6,22,61.2
9225,2017,6,23,0.4
9225,2017,6,24,0
9225,2017,6,25,0
9225,2017,6,26,0
9225,2017,6,27,0
9225,2017,6,28,0
9225,2017,6,29,0
9225,2017,6,30,0
9225,2017,7,1,2.8
9225,2017,7,2,21.8
9225,2017,7,3,0.2
9225,2017,7,4,4.8
9225,2017,7,5,3.6
9225,2017,7,6,13.6
9225,2017,7,7,11.4
9225,2017,7,8,0.2
9225,2017,7,9,0
9225,2017,7,10,0
9225,2017,7,11,0
9225,2017,7,12,2.4
9225,2017,7,13,6
9225,2017,7,14,0.2
9225,2017,7,15,0
9225,2017,7,16,5
9225,2017,7,17,0
9225,2017,7,18,0
9225,2017,7,19,11
9225,2017,7,20,11.8
9225,2017,7,21,5
9225,2017,7,22,3.2
9225,2017,7,23,2.8
9225,2017,7,24,12
9225,2017,7,25,4.4
9225,2017,7,26,0.2
9225,2017,7,27,22.8
9225,2017,7,28,10.2
9225,2017,7,29,10.8
9225,2017,7,30,6.4
9225,2017,7,31,0
9225,2017,8,1,27.4
9225,2017,8,2,0
9225,2017,8,3,0.4
9225,2017,8,4,2.6
9225,2017,8,5,0.8
9225,2017,8,6,0
9225,2017,8,7,0
9225,2017,8,8,0.2
9225,2017,8,9,47.2
9225,2017,8,10,9.2
9225,2017,8,11,0
9225,2017,8,12,19.8
9225,2017,8,13,2.2
9225,2017,8,14,6.6
9225,2017,8,15,8.4
9225,2017,8,16,5.4
9225,2017,8,17,1
9225,2017,8,18,0
9225,2017,8,19,11
9225,2017,8,20,2.8
9225,2017,8,21,0
9225,2017,8,22,0.6
9225,2017,8,23,0
9225,2017,8,24,0
9225,2017,8,25,0
9225,2017,8,26,0
9225,2017,8,27,0
9225,2017,8,28,0
9225,2017,8,29,0
9225,2017,8,30,1.4
9225,2017,8,31,4.6
9225,2017,9,1,9
9225,2017,9,2,3
9225,2017,9,3,0.2
9225,2017,9,4,0
9225,2017,9,5,0
9225,2017,9,6,0
9225,2017,9,7,0
9225,2017,9,8,0
9225,2017,9,9,0
9225,2017,9,10,1.6
9225,2017,9,11,5.2
9225,2017,9,12,6.2
9225,2017,9,13,0.2
9225,2017,9,14,0
9225,2017,9,15,0
9225,2017,9,16,0
9225,2017,9,17,0.2
9225,2017,9,18,0
9225,2017,9,19,0
9225,2017,9,20,6
9225,2017,9,21,3.8
9225,2017,9,22,6.2
9225,2017,9,23,5.8
9225,2017,9,24,7.8
9225,2017,9,25,9.6
9225,2017,9,26,4.4
9225,2017,9,27,0
9225,2017,9,28,2.2
9225,2017,9,29,6
9225,2017,9,30,0
9225,2017,10,1,0
9225,2017,10,2,0
9225,2017,10,3,0
9225,2017,10,4,0
9225,2017,10,5,0
9225,2017,10,6,0
9225,2017,10,7,1.6
9225,2017,10,8,0.6
9225,2017,10,9,0
9225,2017,10,10,0.2
9225,2017,10,11,4.8
9225,2017,10,12,0
9225,2017,10,13,0
9225,2017,10,14,2.4
9225,2017,10,15,0
9225,2017,10,16,6.6
9225,2017,10,17,10.6
9225,2017,10,18,6.6
9225,2017,10,19,0.2
9225,2017,10,20,0
9225,2017,10,21,0
9225,2017,10,22,0.6
9225,2017,10,23,0
9225,2017,10,24,0
9225,2017,10,25,0
9225,2017,10,26,1.2
9225,2017,10,27,4.2
9225,2017,10,28,1.4
9225,2017,10,29,1
9225,2017,10,30,0
9225,2017,10,31,0
9225,2017,11,1,0
9225,2017,11,2,0
9225,2017,11,3,0
9225,2017,11,4,0
9225,2017,11,5,0
9225,2017,11,6,0
9225,2017,11,7,0
9225,2017,11,8,0
9225,2017,11,9,2.2
9225,2017,11,10,0
9225,2017,11,11,0
9225,2017,11,12,0
9225,2017,11,13,0
9225,2017,11,14,0
9225,2017,11,15,0
9225,2017,11,16,0
9225,2017,11,17,0
9225,2017,11,18,2.2
9225,2017,11,19,0.2
9225,2017,11,20,0
9225,2017,11,21,0
9225,2017,11,22,0
9225,2017,11,23,0
9225,2017,11,24,0
